Execution date;Value date;Amount;Account currency;Details;Exchange rate;Associated cost
15/08/2021;16/08/2021;-535,00;EUR;MYRIAD BY SANA            PT - 1990-1  LISBOA;Exchange rate##;Associated cost##
14/08/2021;16/08/2021;-134,24;EUR;UBER   *TRIP              NL - 1250-0  HELP.UBER.COM;Exchange rate##;Associated cost##
14/08/2021;16/08/2021;-211,50;EUR;BAIRRO ALTO HTL R I       PT - 1200-2  LISBOA;Exchange rate##;Associated cost##
14/08/2021;16/08/2021;-683,50;EUR;Hotel Casa Palmela Lda    PT - 2900-7  Setubal;Exchange rate##;Associated cost##
14/08/2021;14/08/2021;-16,93;EUR;Amazon.de                 LU - L2338  AMAZON.DE;Exchange rate##;Associated cost##
13/08/2021;14/08/2021;-8,73;EUR;Amazon.de                 LU - L2338  AMAZON.DE;Exchange rate##;Associated cost##
11/08/2021;12/08/2021;-675,00;EUR;Hotel Casa Palmela Lda    PT - 2900-7  Setubal;Exchange rate##;Associated cost##
09/08/2021;10/08/2021;-9,57;EUR;Amazon Prime*079N51P05    GB - EC2A 2  amzn.co.uk/pm;Exchange rate##0,83490074;Associated cost##+0,00
09/08/2021;10/08/2021;-4,29;EUR;GOOGLE*YOUTUBE MEMBER     US - 94043  INTERNET;Exchange rate##1,1631701;Associated cost##+0,00
05/08/2021;06/08/2021;-563,00;EUR;MYRIAD BY SANA            PT - 1990-1  LISBOA;Exchange rate##;Associated cost##
04/08/2021;06/08/2021;-560,00;EUR;REST ALMA CHIADO          PT - 1200-0  LISBOA;Exchange rate##;Associated cost##
